method,model,idx,n_steps,edit_success,over_extinction,oe_damage,neighborhood_preservation,paraphrase_success,locality_drop,baseline_prob,final_p_true,training_loss_final,n_mlp,oe_source
OurMethod_10step,Qwen/Qwen3-0.6B,25,10,1.0,0.081429,,,,,0.0,0.0,0.0,19,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,26,10,1.0,0.111429,,,,,0.0,0.0,0.0,26,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,27,10,0.9685,0.095466,,,,,0.0,2.1019476964872256e-44,0.0,23,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,28,10,1.0,0.098571,,,,,0.1044,0.0,0.0,23,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,29,10,1.0,0.111429,,,,,0.0021,0.0,0.0,26,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,30,10,1.0,0.12,,,,,0.0016,0.0,0.0,28,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,31,10,0.992,0.08928,,,,,0.0001,0.0,0.0,21,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,32,10,1.0,0.12,,,,,0.0002,0.0,0.0,28,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,33,10,0.9999,0.115703,,,,,0.0009,0.0,0.0,27,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,34,10,0.9989,0.081339,,,,,0.0001,0.0,0.0,19,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,35,10,1.0,0.068571,,,,,0.0001,0.0,0.0,16,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,36,10,0.9997,0.094257,,,,,0.0009,8.407790785948902e-45,0.0,22,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,37,10,1.0,0.12,,,,,0.0004,0.0,0.0,28,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,38,10,1.0,0.072857,,,,,0.0001,0.0,0.0,17,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,39,10,1.0,0.064286,,,,,0.0002,0.0,0.0,15,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,40,10,1.0,0.077143,,,,,0.0,0.0,0.0,18,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,41,10,0.9994,0.072813,,,,,0.0011,0.0,0.0,17,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,42,10,1.0,0.098571,,,,,0.0,0.0,0.0,23,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,43,10,1.0,0.081429,,,,,0.0001,0.0,0.0,19,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,44,10,0.9999,0.102847,,,,,0.0004,0.0,0.0,24,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,45,10,0.9997,0.094257,,,,,0.0126,6.221765181602188e-43,0.0,22,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,46,10,1.0,0.094286,,,,,0.0,0.0,0.0,22,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,47,10,0.9935,0.085157,,,,,0.0007,1.1238413683885033e-42,0.0,20,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,48,10,0.9999,0.034282,,,,,0.0005,0.0,0.0,8,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,49,10,1.0,0.064286,,,,,0.0014,0.0,0.0,15,synthetic_approx
ROME,Qwen/Qwen3-0.6B,0,1,1.0,0.6666666666666666,,0.0,0.0,,0.0018,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,1,1,0.9976,1.0,,0.0,1.0,,0.0064,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,2,1,0.9771,1.0,,0.0,1.0,,0.0,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,3,1,0.9771,0.0,,0.0,1.0,,0.0,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,4,1,0.999,0.6666666666666666,,0.0,1.0,,0.0,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,5,1,1.0,0.6666666666666666,,0.0,0.5,,0.0157,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,6,1,0.9819,0.6666666666666666,,0.0,1.0,,0.0,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,7,1,0.9922,1.0,,0.0,1.0,,0.0002,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,8,1,0.998,0.0,,0.0,1.0,,0.0,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,9,1,0.9854,1.0,,0.0,1.0,,0.0,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,10,1,0.999,0.6666666666666666,,0.0,1.0,,0.0,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,11,1,0.9956,1.0,,0.0,1.0,,0.0046,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,12,1,0.9639,0.6666666666666666,,0.0,1.0,,0.0,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,13,1,0.9673,1.0,,0.0,1.0,,0.0002,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,14,1,0.9775,1.0,,0.0,1.0,,0.0005,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,15,1,0.9937,0.3333333333333333,,0.0,0.5,,0.0,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,16,1,0.999,0.3333333333333333,,0.0,0.0,,0.0002,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,17,1,0.9995,0.6666666666666666,,0.0,1.0,,0.0,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,18,1,0.9893,1.0,,0.0,1.0,,0.0005,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,19,1,0.9985,0.0,,0.0,1.0,,0.0,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,20,1,0.9707,0.3333333333333333,,0.0,1.0,,0.0006,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,21,1,0.9722,1.0,,0.0,1.0,,0.0,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,22,1,0.9937,1.0,,0.0,1.0,,0.0002,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,23,1,0.9727,0.3333333333333333,,0.0,1.0,,0.0,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,24,1,0.999,1.0,,0.0,1.0,,0.0,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,25,1,0.915,0.0,,0.3333333333333333,1.0,,0.0,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,26,1,0.9941,0.0,,0.0,1.0,,0.0,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,27,1,0.9263,1.0,,0.0,1.0,,0.0,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,28,1,0.9995,0.6666666666666666,,0.0,0.0,,0.1047,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,29,1,0.98,0.6666666666666666,,0.0,0.5,,0.0021,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,30,1,0.9937,1.0,,0.0,1.0,,0.0016,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,31,1,0.9976,0.3333333333333333,,0.0,1.0,,0.0001,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,32,1,0.998,0.6666666666666666,,0.0,1.0,,0.0002,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,33,1,0.9927,1.0,,0.0,1.0,,0.0009,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,34,1,0.9897,0.3333333333333333,,0.6666666666666666,0.5,,0.0001,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,35,1,0.9985,1.0,,0.0,1.0,,0.0001,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,36,1,0.9946,0.6666666666666666,,0.0,1.0,,0.0009,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,37,1,0.9346,1.0,,0.0,0.5,,0.0004,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,38,1,0.9956,1.0,,0.0,0.5,,0.0001,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,39,1,0.9995,1.0,,0.0,1.0,,0.0002,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,40,1,0.9927,0.0,,0.0,0.5,,0.0,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,41,1,0.9961,1.0,,0.0,1.0,,0.0011,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,42,1,0.9917,0.6666666666666666,,0.0,1.0,,0.0,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,43,1,0.9941,1.0,,0.0,1.0,,0.0001,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,44,1,0.9961,0.3333333333333333,,0.0,1.0,,0.0004,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,45,1,0.999,0.6666666666666666,,0.0,0.5,,0.0125,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,46,1,0.9995,0.6666666666666666,,0.0,1.0,,0.0,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,47,1,0.9995,1.0,,0.0,1.0,,0.0007,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,48,1,0.9912,1.0,,0.0,1.0,,0.0005,,,,baseline_live
ROME,Qwen/Qwen3-0.6B,49,1,0.9712,1.0,,0.0,1.0,,0.0014,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,0,1,0.9995,0.6666666666666666,,0.0,0.0,,0.0018,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,1,1,0.9961,1.0,,0.0,1.0,,0.0064,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,2,1,0.9678,1.0,,0.0,1.0,,0.0,,,,baseline_live
MEMIT,Qwen/Qwen3-0.6B,3,1,0.9951,0.0,,0.0,1.0,,0.0,,,,baseline_live
